"","input_corr","input_gini1","input_gini2","input_badrate","theor_gini_combined","actual_gini1","actual_gini2","actual_corr","actual_bad_rate","gini_model","gini_logistic","gini_probit","diff.logistic","diff.probit"
"93",0.417941802288406,0.839960311725736,0.235652694664896,0.306862724144012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",0.27179556800751,0.589699148014188,0.375443677790463,0.276553674784955,0.634462123478365,0.571557127785018,0.330923271064772,0.231473969038787,0.262,0.609740665114897,0.611090423881338,0.61120420364509,0.00134975876644083,0.00146353853019288
"95",0.941174516407773,0.232229872979224,0.416984661668539,0.02824782645097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",0.107886619856581,0.733135937340558,0.357707722112536,0.13382028213935,0.780609294800959,0.717155923198494,0.39453243215979,0.0788539239166722,0.138,0.788067680094271,0.777850633847809,0.777884259726285,-0.0102170462464621,-0.010183420367986
"97",0.743874067305587,0.287292688339949,0.50353428684175,0.0880437139677815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",0.55520086544333,0.820236873440444,0.79232762940228,0.392969197602943,0.934425836638237,0.836902159512454,0.797438063063063,0.57671696967538,0.408,0.940990577173925,0.938849695283519,0.938924218335983,-0.00214088189040584,-0.00206635883794171
"99",0.967434840928763,0.771040942333639,0.180888278409839,0.259915405060165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",0.86048690542113,0.214784659072757,0.475467865914106,0.104689131700434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",0.803871712668333,0.142610298469663,0.497333917208016,0.460515748285688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",0.0927444782992825,0.115395561233163,0.837410608120263,0.331678489530459,0.838735447447619,0.0967761920566435,0.841185971899546,0.0672337116109472,0.345,0.842620266760999,0.842124128775307,0.841929416970904,-0.000496137985692258,-0.00069084979009526
"103",0.566886952228378,0.16701378133148,0.422015341743827,0.158163296489511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",0.444619586826302,0.715853437036276,0.110517493076622,0.0505795679497533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",0.703493598802015,0.466958376206458,0.214315765909851,0.179249584495556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",0.822983735587913,0.629672909900546,0.258988072164357,0.286708947122097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",0.103325329197105,0.773812935687602,0.538864886388183,0.0469269768893719,0.860781188080244,0.771070081043067,0.525038512201112,0.101320920378818,0.047,0.854442588136495,0.845906543725302,0.846085151034806,-0.0085360444111926,-0.00835743710168835
"108",0.14338383872062,0.190925426781178,0.163816953636706,0.267293694482651,0.235808077564322,0.213374034541394,0.190541066562865,0.1612221993696,0.266,0.266067001693606,0.27230542295794,0.272377128106369,0.00623842126433338,0.00631012641276296
"109",0.974929032493383,0.31372610013932,0.212964713387191,0.0289597124280408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",0.166932923526037,0.426205082796514,0.563720157928765,0.360179202081636,0.666692099618356,0.42108809839387,0.59236697771768,0.160654863612522,0.339,0.688027489068033,0.692938651100728,0.692983278218843,0.00491116203269493,0.00495578915080963
"111",0.74737187711522,0.609667236171663,0.195686745643616,0.0205742580420338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",0.138096051947214,0.835141902603209,0.509409158863127,0.39912690279074,0.954388713238347,0.818061137947564,0.515739272588714,0.14007958420097,0.423,0.943363046939102,0.948383871906126,0.9482855398634,0.00502082496702383,0.00492249292429858
"113",0.601747426595539,0.180792229250073,0.684758810698986,0.012610338293016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",0.979372280139942,0.819828167930245,0.267150956019759,0.272585998205468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",0.578391448350158,0.386440844275057,0.265475594438612,0.156716640847735,0.389830244274705,0.366339285714286,0.240372023809524,0.604819012860372,0.16,0.36709676318921,0.366592261904762,0.366264880952381,-0.000504501284448011,-0.000831882236828951
"116",0.635942916471977,0.327090172283351,0.245537889748812,0.291049995364156,0.330885285005486,0.257744550307969,0.223631792136413,0.648786333090015,0.299,0.268388535254823,0.261952585651649,0.262859078526138,-0.00643594960317362,-0.00552945672868477
"117",0.314712483307812,0.583468336053193,0.30890839677304,0.045878798214253,0.595038642118063,0.609121909633419,0.244549993910608,0.260163619470146,0.034,0.613574721107221,0.620326391426136,0.620448179271709,0.00675167031891455,0.00687345816448759
"118",0.387349542926531,0.118331923894584,0.417226483859122,0.27464647005545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",0.810567744020373,0.742350573092699,0.328160448558629,0.382067149996292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",0.636428396806587,0.131878205575049,0.660222572460771,0.0423467767075636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",0.738724501028191,0.323565490357578,0.719191753491759,0.0580662620556541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",0.148421037183143,0.845042803883553,0.852116494998336,0.440490565812215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",0.735514056868851,0.634654713794589,0.409793506935239,0.247456718392205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",0.185268567320891,0.648074406571686,0.237736746668816,0.28590708482312,0.660789361975186,0.690831065423899,0.245954190579598,0.216160467915312,0.307,0.699609375723812,0.70359716288055,0.703587762219684,0.00398778715673864,0.00397838649587223
